congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1070,2018-07-19,2,363,229,180,-0.294,0.569,-0.485,-1.347,-30.701999999999998,HCONRES119,Passed,Expressing the sense of Congress that a carbon tax would be detrimental to the United States economy,On Agreeing to the Resolution,
115,House,1071,2018-07-19,2,364,182,232,0.027000000000000003,0.027000000000000003,0.716,-0.068,-0.264,HR6147,Failed,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
115,House,1072,2018-07-19,2,365,217,199,-0.255,0.795,-0.491,-1.251,-37.811,HR6147,Passed,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
115,House,1073,2018-07-23,2,366,379,1,0.0,0.0,0.0,0.0,0.0,HR2345,Passed,National Suicide Hotline Improvement Act,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1074,2018-07-23,2,367,378,4,0.0,0.0,0.0,0.0,0.0,HR4881,Passed,Precision Agriculture Connectivity Act,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1075,2018-07-24,2,368,224,184,0.03,0.046,-0.715,0.10400000000000001,-0.276,HRES1012,Passed,"Providing for consideration of H.R. 6199, the Restoring Access to Medication and Modernizing Health Savings Accounts Act of 2018; providing for proceedings during the period from July 27, 2018, through September 3, 2018",On Ordering the Previous Question,
115,House,1076,2018-07-24,2,369,229,179,-0.131,-0.055,-0.706,0.231,-9.802999999999999,HRES1012,Passed,"Providing for consideration of H.R. 6199, the Restoring Access to Medication and Modernizing Health Savings Accounts Act of 2018; providing for proceedings during the period from July 27, 2018, through September 3, 2018",On Agreeing to the Resolution,
115,House,1077,2018-07-24,2,370,223,188,0.011000000000000001,0.37799999999999995,-0.6729999999999999,-0.599,-3.657,HRES1011,Passed,"Providing for consideration for H.R. 184, the Protect Medical Innovation Act of 2017; and H.R. 6311, the Increasing Access to Lower Premium Plans and Expanding Health Savings Accounts Act of 2018",On Ordering the Previous Question,
115,House,1078,2018-07-24,2,371,225,184,-0.066,-0.011000000000000001,-0.71,0.207,-3.895,HRES1011,Passed,"Providing for consideration for H.R. 184, the Protect Medical Innovation Act of 2017; and H.R. 6311, the Increasing Access to Lower Premium Plans and Expanding Health Savings Accounts Act of 2018",On Agreeing to the Resolution,
115,House,1079,2018-07-24,2,372,283,132,0.05,0.9990000000000001,-0.191,0.284,-115.719,HR184,Passed,Protect Medical Innovation Act,On Passage,
115,House,1080,2018-07-25,2,373,366,52,0.6679999999999999,0.7440000000000001,0.33299999999999996,-0.07200000000000001,-87.45200000000001,S1182,Passed,The American Legion 100th Anniversary Commemorative Coin Act,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1081,2018-07-25,2,374,417,0,0.0,0.0,0.0,0.0,0.0,HR5864,Passed,VA Hospitals Establishing Leadership Performance Act,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1082,2018-07-25,2,375,187,229,-0.183,0.983,0.49,0.532,-12.686,HR6311,Failed,Increasing Access to Lower Premium Plans and Expanding Health Savings Accounts Act of 2018,On Motion to Recommit with Instructions,
